,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,rcp45_mean,rcp45_std,rcp45_min,rcp85_mean,rcp85_std,rcp85_min,hist_10yr_mean,hist_10yr_min,hist_10yr_std,mid_rcp45_mean,mid_rcp45_min,late_rcp45_mean,late_rcp45_min,mid_rcp85_mean,mid_rcp85_min,late_rcp85_mean,late_rcp85_min,recent_30yr_mean,recent_30yr_min,zscore_rcp45,shifting_rcp45,zscore_rcp85,shifting_rcp85,zscore_mid_rcp45,shifting_mid_rcp45,zscore_late_rcp45,shifting_late_rcp45,zscore_mid_rcp85,shifting_mid_rcp85,zscore_late_rcp85,shifting_late_rcp85
48,"Rifle New, CO, Processing Site",RFN,CO,-0.0,0.26,-0.39,-0.16,0.36,-1.07,-0.42,0.4,-1.38,-0.12,-0.39,0.19,0.09,-0.28,-0.13,-0.48,-0.37,-1.08,-0.76,-1.26,-0.02,-0.39,-0.62,1,-1.62,2,1.12,0,-0.04,1,-1.32,2,-3.42,3
49,"Rifle Old, CO, Processing Site",RFO,CO,-0.0,0.26,-0.39,-0.16,0.36,-1.07,-0.42,0.4,-1.38,-0.12,-0.39,0.19,0.09,-0.28,-0.13,-0.48,-0.37,-1.08,-0.76,-1.26,-0.02,-0.39,-0.62,1,-1.62,2,1.12,0,-0.04,1,-1.32,2,-3.42,3
50,"Rifle, CO, Disposal Site",RFL,CO,-0.0,0.26,-0.43,-0.16,0.36,-1.07,-0.42,0.4,-1.35,-0.14,-0.43,0.19,0.08,-0.29,-0.13,-0.4,-0.37,-1.08,-0.75,-1.26,-0.01,-0.43,-0.61,1,-1.63,2,1.12,0,0.04,0,-1.24,2,-3.2,3
51,"Rio Blanco, CO, Site",RBL,CO,-0.0,0.26,-0.5,-0.24,0.31,-1.17,-0.5,0.39,-1.39,-0.14,-0.4,0.17,-0.01,-0.34,-0.25,-0.75,-0.46,-1.1,-0.82,-1.28,-0.03,-0.5,-0.92,1,-1.95,2,0.73,0,-0.66,1,-1.93,2,-4.08,3
52,"Riverton, WY, Processing Site",RVT,WY,0.01,0.26,-0.59,-0.23,0.3,-1.12,-0.56,0.32,-1.14,-0.11,-0.37,0.21,-0.27,-0.63,-0.05,-0.4,-0.55,-0.96,-0.85,-1.08,-0.02,-0.59,-0.93,1,-2.18,3,-0.77,1,0.29,0,-2.15,3,-3.59,3
53,"Rocky Flats, CO, Site",RFS,CO,0.0,0.26,-0.54,0.01,0.31,-0.71,-0.34,0.4,-1.32,-0.03,-0.24,0.16,0.16,-0.15,0.01,-0.71,-0.44,-0.93,-0.67,-1.32,-0.03,-0.54,0.03,0,-1.31,2,1.27,0,0.29,0,-2.6,3,-4.03,3
54,"Rulison, CO, Site",RUL,CO,-0.0,0.25,-0.39,-0.22,0.34,-1.16,-0.48,0.41,-1.48,-0.12,-0.32,0.17,0.02,-0.39,-0.18,-0.56,-0.37,-1.11,-0.81,-1.3,-0.02,-0.39,-0.87,1,-1.92,2,0.82,0,-0.38,1,-1.53,2,-4.11,3
55,"Salmon, MS, Site",SAL,MS,-0.0,0.28,-0.64,0.1,0.29,-0.68,-0.05,0.33,-0.87,0.06,-0.34,0.26,0.14,-0.48,0.11,-0.3,-0.04,-0.77,-0.05,-0.67,0.03,-0.64,0.36,0,-0.16,1,0.31,0,0.2,0,-0.37,1,-0.42,1
56,"Salt Lake City, UT, Disposal Site",SLD,UT,0.01,0.26,-0.61,-0.21,0.29,-0.98,-0.52,0.35,-1.33,-0.2,-0.61,0.18,-0.08,-0.34,-0.11,-0.45,-0.47,-0.89,-0.9,-1.33,-0.03,-0.61,-0.83,1,-2.0,3,0.65,0,0.47,0,-1.47,2,-3.8,3
57,"Salt Lake City, UT, Processing Site",SLP,UT,0.01,0.27,-0.68,-0.17,0.33,-1.02,-0.42,0.39,-1.37,-0.19,-0.68,0.23,-0.06,-0.47,0.01,-0.11,-0.34,-1.05,-0.77,-1.37,0.0,-0.68,-0.64,1,-1.59,2,0.55,0,0.83,0,-0.68,1,-2.52,3
