,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
47,"Pre-Schooner II, ID, Site",PSC,ID,358.85,659.53,350.23,403.7,539.38,438.56,620.65,431.02,479.27,588.05,792.42,1326.38,790.07,809.98,1016.13,807.82,968.6,1216.28,954.31,1073.79,2125.22,1012.94,964.32,1211.5,954.34,1699.12,2009.36,1682.84,3,3,3,3,3,3
48,"Rifle New, CO, Processing Site",RFN,CO,35.39,165.67,25.38,42.96,99.54,57.6,137.91,50.47,70.73,121.24,214.32,553.45,205.98,228.25,358.16,220.78,316.68,475.67,307.67,403.15,1206.87,337.29,306.05,456.62,302.38,795.73,1082.04,789.69,3,3,3,3,3,3
49,"Rifle Old, CO, Processing Site",RFO,CO,35.39,165.67,25.38,42.96,99.54,57.6,137.91,50.47,70.73,121.24,214.32,553.45,205.98,228.25,358.16,220.78,316.68,475.67,307.67,403.15,1206.87,337.29,306.05,456.62,302.38,795.73,1082.04,789.69,3,3,3,3,3,3
50,"Rifle, CO, Disposal Site",RFL,CO,35.39,165.67,25.38,42.96,99.54,57.6,137.91,50.47,70.73,121.24,214.32,553.45,205.98,228.25,358.16,220.78,316.68,475.67,307.67,403.15,1206.87,337.29,306.05,456.62,302.38,795.73,1082.04,789.69,3,3,3,3,3,3
51,"Rio Blanco, CO, Site",RBL,CO,137.54,347.32,128.87,166.15,267.93,187.62,318.91,182.75,220.58,297.58,451.64,890.91,447.82,479.23,650.51,467.95,595.14,791.56,582.25,689.5,1656.64,624.04,577.17,768.38,574.68,1189.36,1516.68,1179.4,3,3,3,3,3,3
52,"Riverton, WY, Processing Site",RVT,WY,351.88,643.98,348.23,403.9,538.43,426.01,593.75,419.78,466.7,571.81,744.67,1235.54,749.29,779.86,996.34,769.26,904.99,1132.72,896.89,1022.32,2053.37,954.48,905.33,1117.95,911.32,1606.66,1943.76,1588.8,3,3,3,3,3,3
53,"Rocky Flats, CO, Site",RFS,CO,335.37,637.59,326.43,386.26,523.46,408.91,597.82,402.51,463.63,565.89,734.23,1228.26,736.02,786.04,1010.48,775.8,897.85,1114.31,889.42,1003.88,2079.81,937.4,896.07,1138.66,899.48,1574.49,1919.97,1558.96,3,3,3,3,3,3
54,"Rulison, CO, Site",RUL,CO,14.91,103.7,7.66,16.06,52.42,27.28,80.52,19.99,33.32,68.4,133.07,413.88,120.84,139.16,245.77,129.66,211.85,345.21,204.17,293.95,998.86,226.23,203.44,330.25,199.87,626.53,889.14,618.73,3,3,3,3,3,3
55,"Salmon, MS, Site",SAL,MS,2321.05,2907.55,2298.18,2415.58,2714.03,2513.82,2830.8,2497.94,2572.8,2775.21,3097.56,3943.44,3108.74,3119.4,3496.58,3117.2,3364.05,3735.11,3346.51,3480.09,5100.8,3399.16,3305.63,3660.59,3298.17,4396.83,4839.07,4389.74,3,3,3,3,3,3
56,"Salt Lake City, UT, Disposal Site",SLD,UT,912.62,1298.67,907.49,982.02,1158.03,1030.51,1256.7,1029.39,1094.72,1219.65,1510.54,2139.29,1522.23,1546.03,1783.89,1548.94,1737.56,2018.89,1713.06,1850.87,3125.83,1784.17,1722.01,2011.16,1730.21,2589.74,2957.15,2579.67,3,3,3,3,3,3
57,"Salt Lake City, UT, Processing Site",SLP,UT,548.21,869.46,546.62,602.34,757.22,645.85,833.2,640.75,701.82,805.63,1066.8,1633.5,1073.39,1101.08,1321.28,1102.68,1271.87,1524.09,1257.88,1383.87,2589.6,1316.79,1253.92,1503.02,1263.32,2067.6,2440.33,2059.16,3,3,3,3,3,3
58,"Sherwood, WA, Disposal Site",SHE,WA,373.23,670.73,365.32,420.94,573.84,443.16,628.74,433.55,490.35,597.9,787.35,1314.14,791.45,797.36,1040.74,780.07,955.74,1209.95,937.33,1064.47,2127.15,1003.38,950.22,1197.0,940.25,1696.03,2017.7,1682.07,3,3,3,3,3,3
59,"Shiprock, NM, Disposal Site",SHP,NM,914.56,1277.96,910.22,985.34,1159.17,1025.94,1251.63,1036.95,1096.3,1210.3,1503.44,2134.89,1516.11,1544.35,1783.79,1533.22,1729.57,1976.49,1733.51,1836.96,3105.54,1778.65,1702.07,1974.63,1700.98,2539.63,2908.52,2537.76,3,3,3,3,3,3
60,"Shirley Basin South, WY, Disposal Site",SBS,WY,56.66,202.82,46.75,72.01,133.57,82.21,169.35,78.24,98.17,153.05,260.25,609.41,255.07,286.21,422.73,277.66,360.96,527.66,354.95,461.88,1259.41,393.97,367.88,524.74,371.13,895.49,1156.4,886.42,3,3,3,3,3,3
61,"Shoal, NV, Site",SHL,NV,715.79,1065.74,702.86,778.12,941.32,825.34,1035.36,819.89,874.65,1000.35,1265.24,1861.3,1268.42,1275.19,1507.1,1269.26,1473.93,1736.33,1457.63,1590.39,2767.85,1524.85,1473.89,1760.07,1475.27,2293.78,2631.25,2286.18,3,3,3,3,3,3
62,"SiteAPlotM, IL, Decommissioned Reactor Site",SAM,IL,696.66,990.51,688.15,752.62,901.09,770.98,920.15,768.15,825.04,903.62,1235.81,1764.69,1251.81,1280.46,1472.19,1280.08,1407.24,1651.02,1397.47,1544.81,2652.98,1496.1,1442.75,1665.37,1447.49,2228.43,2521.62,2221.94,3,3,3,3,3,3
63,"Slick Rock East, CO, Processing Site",SRE,CO,552.65,865.41,546.33,608.58,758.79,647.14,841.5,653.84,706.62,806.57,1055.03,1627.7,1061.22,1086.35,1305.23,1075.48,1257.81,1492.45,1258.4,1358.31,2518.69,1301.79,1232.93,1488.39,1231.14,1989.09,2354.79,1978.1,3,3,3,3,3,3
64,"Slick Rock West, CO, Processing Site",SRW,CO,552.65,865.41,546.33,608.58,758.79,647.14,841.5,653.84,706.62,806.57,1055.03,1627.7,1061.22,1086.35,1305.23,1075.48,1257.81,1492.45,1258.4,1358.31,2518.69,1301.79,1232.93,1488.39,1231.14,1989.09,2354.79,1978.1,3,3,3,3,3,3
65,"Slick Rock, CO, Disposal Site",SRD,CO,552.65,865.41,546.33,608.58,758.79,647.14,841.5,653.84,706.62,806.57,1055.03,1627.7,1061.22,1086.35,1305.23,1075.48,1257.81,1492.45,1258.4,1358.31,2518.69,1301.79,1232.93,1488.39,1231.14,1989.09,2354.79,1978.1,3,3,3,3,3,3
66,"Spook, WY, Disposal Site",SPK,WY,294.35,566.3,286.19,340.51,472.65,354.65,510.18,355.72,395.48,486.99,667.75,1162.31,667.31,711.15,912.06,700.86,808.69,1038.09,802.33,931.53,1935.19,862.26,827.7,1049.7,826.19,1512.87,1817.28,1498.39,3,3,3,3,3,3
67,"Tonopah Test Range, NV, Site",TTR,NV,1069.11,1465.63,1059.98,1145.02,1320.72,1196.55,1427.57,1198.31,1256.67,1389.36,1714.64,2388.2,1724.95,1732.22,1966.49,1729.75,1952.48,2238.72,1935.13,2070.82,3368.96,2010.15,1946.85,2266.09,1939.74,2854.77,3210.82,2841.12,3,3,3,3,3,3
68,"Tuba City, AZ, Disposal Site",TUB,AZ,781.75,1103.29,776.07,847.3,997.54,890.56,1083.55,900.57,952.96,1052.01,1360.1,1941.32,1378.91,1393.22,1615.27,1388.56,1580.46,1804.26,1582.79,1688.02,2912.44,1638.26,1559.3,1822.1,1570.57,2389.46,2726.66,2389.17,3,3,3,3,3,3
69,"Utah, UT, Site",UTA,UT,478.73,785.73,474.97,531.15,676.28,569.1,750.31,567.85,618.76,725.41,960.08,1505.41,963.45,997.32,1212.02,985.8,1151.47,1382.92,1133.67,1262.48,2424.81,1194.09,1130.57,1377.0,1130.05,1903.07,2287.94,1894.76,3,3,3,3,3,3
70,"Weldon Spring, MO, Site",WEL,MO,1379.47,1794.63,1363.11,1456.11,1648.38,1472.73,1698.2,1476.86,1539.9,1664.56,2049.82,2740.44,2078.63,2101.57,2372.11,2102.22,2266.9,2584.34,2253.65,2440.94,3860.11,2374.02,2301.92,2588.18,2287.73,3278.7,3720.33,3247.79,3,3,3,3,3,3
