,NameMnemonic,Latitude,Longitude,hist_12mo_avg,RCP85_mid_12mo_avg,RCP85_late_12mo_avg,RCP85_MidLate_12mo_avg,RCP45_mid_12mo_avg,RCP45_late_12mo_avg,RCP45_MidLate_12mo_avg,EU_class_hist,EU_class_RCP85_Mid,EU_class_RCP85_Late,EU_class_RCP85MidLate,EU_class_RCP45_Mid,EU_class_RCP45_Late,EU_class_RCP45MidLate
53,SRE,38.043158,-108.894528,16.89316362,18.04924315,20.70403428,19.37663871,16.61115023,20.26463758,18.4378939,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
54,SRW,38.045816,-108.909424,17.10278813,18.25959237,20.92538355,19.59248796,16.8214178,20.49486719,18.65814249,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
55,TUB,36.145483,-111.134793,21.84061595,23.63584773,26.3814709,25.00865931,21.71276473,24.29379769,23.00328121,High,High,High,High,High,High,High
56,WEL,38.698168,-90.728274,11.05587124,8.503623913,11.25760214,9.880613026,10.88978023,14.91181766,12.90079894,Low,Low,Moderate,Low,Low,Moderate,Moderate
57,WYN,40.96981,-74.27027,5.8140065,5.943591798,6.8050185,6.374305149,7.239118151,7.885836366,7.562477259,Low,Low,Low,Low,Low,Low,Low
58,ADR,41.887939,-84.014692,7.545231108,6.515515584,8.901477774,7.708496679,8.329375262,10.9226677,9.626021481,Low,Low,Low,Low,Low,Low,Low
59,ALP,40.642126,-80.243968,3.679423435,3.209945219,4.314751254,3.762348236,4.211271425,5.227312438,4.719291932,Very_Low,Very_Low,Very_Low,Very_Low,Very_Low,Low,Very_Low
60,AOR,44.62021,-123.1208,7.651234983,7.67117352,8.243268981,7.95722125,8.364930228,7.872861224,8.118895726,Low,Low,Low,Low,Low,Low,Low
61,APC,35.88441,-106.30667,9.879777518,10.54422587,13.66000091,12.10211339,9.195521376,15.09897548,12.14724843,Low,Low,Moderate,Moderate,Low,Moderate,Moderate
62,BAY,35.88755,-106.24657,10.67866282,11.31459318,14.59100929,12.95280123,9.912167848,15.79522728,12.85369757,Low,Moderate,Moderate,Moderate,Low,Moderate,Moderate
63,BCA,37.87263,-122.25629,9.965973471,9.94861203,11.14170353,10.54515778,10.68655225,10.29250504,10.48952864,Low,Low,Low,Low,Low,Low,Low
64,BEV,42.54042,-70.88862,5.99580042,6.370032415,7.106939323,6.738485869,7.493599961,7.627718156,7.560659059,Low,Low,Low,Low,Low,Low,Low
65,BRP,36.45029,-119.57535,19.53139519,20.59338513,22.92768382,21.76053447,20.9916252,21.2413922,21.1165087,Moderate,Moderate,High,High,Moderate,High,Moderate
66,BUF,42.84099,-78.83386,4.405846415,4.048964409,5.512093421,4.780528915,5.095464731,6.360879291,5.728172011,Very_Low,Very_Low,Low,Very_Low,Very_Low,Low,Low
67,CHM,34.09813,-106.20924,17.21956274,19.04211352,22.44770233,20.74490793,16.20072237,23.55577881,19.87825059,Moderate,Moderate,High,Moderate,Moderate,High,Moderate
68,CHN,41.799395,-87.606969,8.80990693,7.336567853,9.414750303,8.375659078,8.900494065,11.84330106,10.37189756,Low,Low,Low,Low,Low,Moderate,Low
69,CHS,41.790408,-87.599677,8.579877871,7.170692498,9.208070013,8.189381255,8.702193542,11.63780228,10.16999791,Low,Low,Low,Low,Low,Moderate,Low
70,COE,39.95694,-83.01174,5.81653774,5.525760394,7.273331065,6.39954573,6.511345706,8.224387012,7.367866359,Low,Low,Low,Low,Low,Low,Low
71,FFO,39.36087,-84.54117,6.458970654,5.680880324,7.874328328,6.777604326,7.237039966,9.347490439,8.292265203,Low,Low,Low,Low,Low,Low,Low
72,GRC,38.69149,-90.16289,11.64023689,9.60540237,12.27823545,10.94181891,11.53148289,15.74658192,13.63903241,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate
73,HAO,39.38207,-84.54708,6.402864664,5.620773796,7.805898975,6.713336385,7.180598975,9.283245049,8.231922012,Low,Low,Low,Low,Low,Low,Low
74,INO,42.15423,-72.49972,5.627687205,5.61804506,6.493018951,6.055532006,6.887128936,7.020166147,6.953647541,Low,Low,Low,Low,Low,Low,Low
75,JEC,40.70906,-74.10219,7.493314631,7.500716251,8.371216343,7.935966297,8.911605369,9.573047182,9.242326275,Low,Low,Low,Low,Low,Low,Low
76,MAD,38.68817,-90.166642,11.64613085,9.613140727,12.28709057,10.95011565,11.53447446,15.74303138,13.63875292,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate
77,NFV,43.21992684,-78.9732975,4.32677202,4.187706548,5.430355125,4.809030837,5.541478126,6.44940185,5.995439988,Very_Low,Very_Low,Low,Very_Low,Low,Low,Low
78,NWB,40.470348,-74.476119,7.056764372,7.168980951,8.043771369,7.60637616,8.499460574,9.425493573,8.962477073,Low,Low,Low,Low,Low,Low,Low
79,NYN,40.74649,-74.00658,7.856433651,7.811341916,8.606465343,8.208903629,9.244863508,9.815555072,9.53020929,Low,Low,Low,Low,Low,Low,Low
80,ORW,36.042608,-84.207185,4.585534181,4.153217847,5.520779368,4.836998607,5.331720826,6.392971292,5.862346059,Very_Low,Very_Low,Low,Very_Low,Low,Low,Low
81,OXO,39.50375,-84.743455,6.301591843,5.486756424,7.61519499,6.550975707,7.159871502,9.265229221,8.212550361,Low,Low,Low,Low,Low,Low,Low
82,SCT,41.39823,-73.073137,4.635997028,4.447680228,5.191528627,4.819604427,5.759820364,6.078028729,5.918924547,Very_Low,Very_Low,Very_Low,Very_Low,Low,Low,Low
83,SPP,40.537774,-79.782012,4.677247205,4.4716967,5.581179049,5.026437875,5.32243495,6.398881759,5.860658354,Very_Low,Very_Low,Low,Very_Low,Low,Low,Low
84,TLO,41.672238,-83.568668,7.608717971,6.975701002,9.152909843,8.064305422,8.543405206,10.91985439,9.731629797,Low,Low,Low,Low,Low,Low,Low
85,TN1,42.992981,-78.920112,4.856023276,4.658404003,6.036890851,5.347647427,5.644298366,6.975721589,6.310009978,Very_Low,Very_Low,Low,Low,Low,Low,Low
86,TN2,42.998275,-78.915436,4.872261459,4.676640257,6.053383782,5.365012019,5.669159668,6.995463196,6.332311432,Very_Low,Very_Low,Low,Low,Low,Low,Low
87,PAI,41.756445,-81.236156,2.951694778,2.595863411,3.676077909,3.13597066,3.907939939,4.551967463,4.229953701,Very_Low,Very_Low,Very_Low,Very_Low,Very_Low,Very_Low,Very_Low
88,TON,42.97665,-78.89375,4.844657058,4.642778812,6.024182738,5.333480775,5.617487208,6.959624811,6.28855601,Very_Low,Very_Low,Low,Low,Low,Low,Low
89,WIN,41.880214,-72.71927,5.336335894,5.279485787,6.151671326,5.715578557,6.52240931,6.80419153,6.66330042,Low,Low,Low,Low,Low,Low,Low
90,ATT,41.94343,-71.234169,4.82707011,5.114867603,5.523997247,5.319432425,6.05516646,6.165505091,6.110335776,Very_Low,Very_Low,Low,Low,Low,Low,Low
91,LEH,38.519166,-121.755111,19.92607876,19.79630808,22.28098297,21.03864553,21.12050795,20.27444645,20.6974772,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate
92,MAX,38.25875,-83.57,4.172457198,3.818519194,5.314705854,4.566612524,5.07237419,6.474081168,5.773227679,Very_Low,Very_Low,Low,Very_Low,Very_Low,Low,Low
93,GJC,39.043371,-108.573355,16.28382964,16.76656353,19.20101464,17.98378908,16.1683994,19.14018971,17.65429455,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
94,GAC,39.128555,-108.53707,16.66307678,17.18244941,19.49245199,18.3374507,16.6393199,19.38304183,18.01118086,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
95,GNC,35.25447,-107.84307,17.30845065,18.84121532,21.91103924,20.37612728,16.31791143,21.31346012,18.81568577,Moderate,Moderate,High,Moderate,Moderate,High,Moderate
96,GWC,28.334928,-98.050831,13.9659443,15.48807732,18.42064138,16.95435935,15.91082269,20.49020475,18.20051372,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
97,CSC,42.900981,-106.445354,19.11093116,18.45089093,22.00692644,20.22890868,18.5580873,26.55495653,22.55652192,Moderate,Moderate,High,Moderate,Moderate,High,High
98,CLN,42.689729,-73.802984,4.828643336,4.715604071,5.903703129,5.3096536,5.874671253,6.395422044,6.135046649,Very_Low,Very_Low,Low,Low,Low,Low,Low
99,BRO,40.04797041,-108.3685855,15.11180929,15.52469042,18.19713046,16.86091044,15.17645494,18.22867151,16.70256323,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
100,PSC,42.40104084,-115.5756959,16.76172512,16.89930411,18.7316474,17.81547575,16.38017632,18.2694409,17.32480861,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
101,PGD,47.92821359,-106.6492418,17.90006696,15.71146116,18.07892681,16.89519398,18.23380378,22.82323805,20.52852092,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate
102,UTA,39.98549651,-109.6115518,19.776179,19.30900899,21.91013804,20.60957352,19.42246123,21.53298134,20.47772128,Moderate,Moderate,High,Moderate,Moderate,High,Moderate
103,TTR,37.886032,-116.762188,23.01428242,24.2684225,26.71578963,25.49210606,22.2199101,24.00446935,23.11218973,High,High,High,High,High,High,High
